,Compound,Negative,Neutral,Positive,Text,Time Sent,Tweet Count,User
0,0.0,1.0,0.0,0.0,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",Tue Mar 27 11:05:06 +0000 2018,500,BBC
1,0.25,0.875,0.0,0.125,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",Tue Mar 27 11:00:06 +0000 2018,500,BBC
2,0.0,1.0,0.0,0.0,"🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq",Tue Mar 27 09:52:08 +0000 2018,500,BBC
3,0.0,1.0,0.0,0.0,"RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…",Tue Mar 27 09:40:22 +0000 2018,500,BBC
4,0.4019,0.876,0.0,0.124,RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi,Tue Mar 27 09:39:23 +0000 2018,500,BBC
5,0.0,1.0,0.0,0.0,"RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…",Tue Mar 27 09:38:59 +0000 2018,500,BBC
6,0.5994,0.843,0.0,0.157,"RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…",Tue Mar 27 09:36:48 +0000 2018,500,BBC
7,0.0,1.0,0.0,0.0,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v",Tue Mar 27 08:00:04 +0000 2018,500,BBC
8,0.0,1.0,0.0,0.0,"About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn",Tue Mar 27 07:30:04 +0000 2018,500,BBC
9,-0.4588,0.827,0.124,0.049,"The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC",Tue Mar 27 07:00:08 +0000 2018,500,BBC
10,-0.6249,0.806,0.194,0.0,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",Mon Mar 26 19:03:02 +0000 2018,500,BBC
11,0.7783,0.688,0.0,0.312,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",Mon Mar 26 18:24:04 +0000 2018,500,BBC
12,0.0,1.0,0.0,0.0,🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg,Mon Mar 26 17:30:04 +0000 2018,500,BBC
13,0.5859,0.787,0.0,0.213,"✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf",Mon Mar 26 16:25:02 +0000 2018,500,BBC
14,-0.3818,0.744,0.161,0.095,"Tom Cruise stars in a remake of the 1953 adaptation of HG Wells’s classic novel. 🍿

War of the Worlds | @BBCiPlayer… https://t.co/h19JvTlFSA",Mon Mar 26 15:45:04 +0000 2018,500,BBC
15,0.0,1.0,0.0,0.0,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",Mon Mar 26 15:11:57 +0000 2018,500,BBC
16,0.0,1.0,0.0,0.0,"Never let a squirrel nibble your nobble... 🎈🐿😱
https://t.co/cHm9m6At3m",Mon Mar 26 12:58:02 +0000 2018,500,BBC
17,0.4404,0.828,0.0,0.172,Apple wants to introduce new emojis to better represent people with disabilities. ❤️️ https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,Mon Mar 26 11:48:03 +0000 2018,500,BBC
18,-0.5106,0.837,0.163,0.0,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",Mon Mar 26 11:00:05 +0000 2018,500,BBC
19,-0.128,0.93,0.07,0.0,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",Mon Mar 26 10:00:07 +0000 2018,500,BBC
20,0.4588,0.864,0.0,0.136,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,Mon Mar 26 09:35:06 +0000 2018,500,BBC
21,0.3182,0.753,0.0,0.247,"😂 @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",Mon Mar 26 09:33:01 +0000 2018,500,BBC
22,0.0,1.0,0.0,0.0,"The kiwi bird's egg is so large, it takes almost ten days to lay! 🐦🥚😳  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",Mon Mar 26 09:04:01 +0000 2018,500,BBC
23,0.5819,0.818,0.0,0.182,"🤔Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",Mon Mar 26 08:29:04 +0000 2018,500,BBC
24,0.2263,0.749,0.09,0.161,"Wishing you could get out of bed just that little bit earlier? 😴

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",Mon Mar 26 07:30:10 +0000 2018,500,BBC
25,0.128,0.821,0.077,0.101,"Could this be an answer to global water shortages? 🏜💧 This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",Sun Mar 25 19:44:01 +0000 2018,500,BBC
26,-0.7506,0.714,0.286,0.0,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",Sun Mar 25 19:15:06 +0000 2018,500,BBC
27,0.5719,0.837,0.0,0.163,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",Sun Mar 25 18:40:04 +0000 2018,500,BBC
28,0.0,1.0,0.0,0.0,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ⚡️… https://t.co/lFgROYVkv1,Sun Mar 25 18:13:03 +0000 2018,500,BBC
29,0.5267,0.815,0.0,0.185,"When you're enjoying being single and people just can't deal with it. 🙄😂 @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",Sun Mar 25 17:30:07 +0000 2018,500,BBC
30,0.4588,0.833,0.0,0.167,"🇺🇸🏝🇬🇧 Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",Sun Mar 25 15:03:03 +0000 2018,500,BBC
31,0.0,1.0,0.0,0.0,"💬 We could listen to him speak all day. 

📽 Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",Sun Mar 25 14:30:02 +0000 2018,500,BBC
32,0.1779,0.909,0.0,0.091,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ♻️🌊💔… https://t.co/uKD9BQWmUi",Sun Mar 25 14:09:03 +0000 2018,500,BBC
33,0.5574,0.816,0.0,0.184,"👽✨🛸 @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",Sun Mar 25 13:03:04 +0000 2018,500,BBC
34,0.0,1.0,0.0,0.0,"Weighing just 100g, a newborn panda is one 900th the size of its mum! 🐼💕 #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",Sun Mar 25 12:03:02 +0000 2018,500,BBC
35,0.0,1.0,0.0,0.0,🐟Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,Sun Mar 25 10:30:04 +0000 2018,500,BBC
36,-0.3612,0.839,0.161,0.0,"Ever wondered what made you feel moody? It might be your gut.

👉 https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",Sun Mar 25 09:30:15 +0000 2018,500,BBC
37,0.5719,0.764,0.0,0.236,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",Sun Mar 25 08:43:31 +0000 2018,500,BBC
38,-0.4019,0.899,0.101,0.0,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",Sun Mar 25 08:43:26 +0000 2018,500,BBC
39,0.0,1.0,0.0,0.0,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft 😳 https://t.co/YaE7fBZamq,Sun Mar 25 08:43:22 +0000 2018,500,BBC
40,-0.25,0.743,0.153,0.104,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,Sun Mar 25 08:00:12 +0000 2018,500,BBC
41,0.0,1.0,0.0,0.0,You learn something new every day. Here's how to poo a baby jaguar. 🤷💩#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,Sun Mar 25 07:34:02 +0000 2018,500,BBC
42,-0.4215,0.859,0.141,0.0,When the clocks have gone forward but there's no way you're getting out of bed yet. 🙅‍♂️⏰#DaylightSavings https://t.co/cHBPV3ITsQ,Sun Mar 25 07:02:00 +0000 2018,500,BBC
43,-0.3818,0.885,0.115,0.0,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",Sat Mar 24 20:34:01 +0000 2018,500,BBC
44,0.4767,0.866,0.0,0.134,"The story of the last decade of Picasso's life, through the words of family and friends. 🎨

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",Sat Mar 24 20:00:11 +0000 2018,500,BBC
45,0.5859,0.817,0.0,0.183,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",Sat Mar 24 19:16:04 +0000 2018,500,BBC
46,0.5719,0.748,0.0,0.252,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N 🏆 🚣 #BoatRace2018 https://t.co/6SQjF1ToSt,Sat Mar 24 18:44:04 +0000 2018,500,BBC
47,0.3182,0.777,0.0,0.223,"📺😂 @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",Sat Mar 24 18:02:01 +0000 2018,500,BBC
48,0.0,1.0,0.0,0.0,"When proposals go wrong... 😳💍 #Doodlebugs 
https://t.co/8Yi6giWO3S",Sat Mar 24 17:01:01 +0000 2018,500,BBC
49,0.2732,0.788,0.083,0.129,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",Sat Mar 24 15:30:10 +0000 2018,500,BBC
50,-0.0772,0.719,0.15,0.131,🤳How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,Sat Mar 24 15:00:06 +0000 2018,500,BBC
51,0.0,1.0,0.0,0.0,🚣 @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,Sat Mar 24 14:01:47 +0000 2018,500,BBC
52,0.296,0.845,0.0,0.155,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,Sat Mar 24 14:01:32 +0000 2018,500,BBC
53,0.0,1.0,0.0,0.0,"Which animals are likely to become extinct in your lifetime? 🦏💔
https://t.co/9KwlmcNrWV",Sat Mar 24 13:03:01 +0000 2018,500,BBC
54,0.1867,0.902,0.0,0.098,"Don't miss the highlights from the Gymnastics World Cup! 🤸🤸‍♀️🇬🇧

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",Sat Mar 24 12:33:04 +0000 2018,500,BBC
55,0.0,1.0,0.0,0.0,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…🐴

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",Sat Mar 24 11:29:04 +0000 2018,500,BBC
56,0.4215,0.833,0.0,0.167,"Meet Hester, the 10-year-old visually impaired skier who's hoping for Paralympic gold one day. ⛷🥇https://t.co/6aiUaTc3yS",Sat Mar 24 10:31:01 +0000 2018,500,BBC
57,0.5411,0.857,0.0,0.143,"""The enthusiastic viewer should feel he is almost the man on the spot!"" 

In 1949, the BBC announced it would telev… https://t.co/WEoPpkrW1V",Sat Mar 24 10:03:01 +0000 2018,500,BBC
58,0.0,1.0,0.0,0.0,RT @BBCNewsNI: Prince Harry and Meghan Markle are visiting Northern Ireland https://t.co/ODxLd1LIr8 https://t.co/s0zPTXj3Tk,Sat Mar 24 09:42:34 +0000 2018,500,BBC
59,0.0,1.0,0.0,0.0,"RT @bbcf1: Lewis Hamilton took the first pole of the season in spectacular style ⚡️

https://t.co/a7YDOx0FlQ",Sat Mar 24 09:32:59 +0000 2018,500,BBC
60,0.4995,0.867,0.0,0.133,"RT @sportrelief: A humongous THANK YOU to everyone who has taken part, fund-raised &amp; watched over the past weeks &amp; tonight. The #SportRelie…",Sat Mar 24 09:31:30 +0000 2018,500,BBC
61,0.128,0.85,0.065,0.085,RT @sportrelief: The nation has joined together for this year's #SportRelief pulling out all the stops to make their steps count. Well done…,Sat Mar 24 09:31:26 +0000 2018,500,BBC
62,0.0,1.0,0.0,0.0,🥑A Cultural history of the avocado: https://t.co/jo1UyWlVw7 https://t.co/7VF6pBpG57,Sat Mar 24 09:30:13 +0000 2018,500,BBC
63,0.0,1.0,0.0,0.0,"Meet Alexandre, one of the only male performers of ‘baladi’ – also known as belly dancing – in the Middle East. 🎶

 https://t.co/K12N1Y6PU7",Sat Mar 24 08:33:02 +0000 2018,500,BBC
64,0.0,1.0,0.0,0.0,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",Fri Mar 23 19:07:00 +0000 2018,500,BBC
65,-0.296,0.864,0.136,0.0,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. 🎤🤐 https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,Fri Mar 23 18:03:04 +0000 2018,500,BBC
66,0.0,1.0,0.0,0.0,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ️⚽️✨🚴🎉… https://t.co/tgbpC76heP",Fri Mar 23 17:33:03 +0000 2018,500,BBC
67,0.0,1.0,0.0,0.0,"Your week, as told by @louistheroux. 📆😂
https://t.co/Ae6bDBpIBW",Fri Mar 23 17:02:01 +0000 2018,500,BBC
68,0.0,1.0,0.0,0.0,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",Fri Mar 23 16:27:45 +0000 2018,500,BBC
69,0.7783,0.714,0.0,0.286,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",Fri Mar 23 16:00:12 +0000 2018,500,BBC
70,-0.4479,0.828,0.172,0.0,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs 🎤

@sportrelie…",Fri Mar 23 14:33:40 +0000 2018,500,BBC
71,0.5994,0.813,0.0,0.187,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. 🌿📸… https://t.co/2gq0t9FnIR,Fri Mar 23 14:03:08 +0000 2018,500,BBC
72,-0.4767,0.871,0.129,0.0,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",Fri Mar 23 14:00:02 +0000 2018,500,BBC
73,0.6114,0.8,0.0,0.2,Spring is here! 🌱🌸🥦 Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,Fri Mar 23 13:33:04 +0000 2018,500,BBC
74,0.4939,0.741,0.0,0.259,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",Fri Mar 23 13:03:02 +0000 2018,500,BBC
75,0.0,1.0,0.0,0.0,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,Fri Mar 23 11:42:55 +0000 2018,500,BBC
76,-0.2006,0.754,0.139,0.107,RT @BBCRadio2: 👻 “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,Fri Mar 23 11:42:51 +0000 2018,500,BBC
77,0.0,1.0,0.0,0.0,RT @BBCTwo: Our entire weekend plans. 😴👇 #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,Fri Mar 23 11:42:48 +0000 2018,500,BBC
78,0.3612,0.872,0.0,0.128,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",Fri Mar 23 11:42:43 +0000 2018,500,BBC
79,0.2648,0.897,0.0,0.103,☕️🍰Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,Fri Mar 23 11:30:05 +0000 2018,500,BBC
80,-0.6016,0.813,0.187,0.0,"Friday night is CELEBRITY FIGHT NIGHT! 🥊🥊

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",Fri Mar 23 10:33:01 +0000 2018,500,BBC
81,0.8555,0.657,0.0,0.343,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. 😊 🎉… https://t.co/KrNoB0qaqC",Fri Mar 23 10:03:03 +0000 2018,500,BBC
82,0.765,0.583,0.0,0.417,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",Fri Mar 23 09:30:03 +0000 2018,500,BBC
83,0.0,1.0,0.0,0.0,"Meet the first polar bear cub to be born in the UK in 25 years. 😍
https://t.co/njq1r6eONE",Fri Mar 23 08:33:01 +0000 2018,500,BBC
84,0.1511,0.85,0.0,0.15,"RT @BBCOne: All hail queen Kat! 🙌👑 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t",Thu Mar 22 21:39:27 +0000 2018,500,BBC
85,0.2732,0.884,0.0,0.116,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc",Thu Mar 22 21:30:01 +0000 2018,500,BBC
86,0.0,1.0,0.0,0.0,🖋 The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,Thu Mar 22 21:20:05 +0000 2018,500,BBC
87,-0.6486,0.798,0.202,0.0,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL",Thu Mar 22 20:30:01 +0000 2018,500,BBC
88,0.0,1.0,0.0,0.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. 🐾… https://t.co/0hDQP6X1wA,Thu Mar 22 19:04:04 +0000 2018,500,BBC
89,0.0516,0.625,0.159,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",Thu Mar 22 18:30:09 +0000 2018,500,BBC
90,-0.25,0.917,0.083,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",Thu Mar 22 17:33:04 +0000 2018,500,BBC
91,0.0,1.0,0.0,0.0,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,Thu Mar 22 17:03:54 +0000 2018,500,BBC
92,0.128,0.795,0.092,0.113,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",Thu Mar 22 17:03:05 +0000 2018,500,BBC
93,-0.4753,0.872,0.128,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",Thu Mar 22 16:04:06 +0000 2018,500,BBC
94,0.4184,0.859,0.0,0.141,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",Thu Mar 22 15:00:43 +0000 2018,500,BBC
95,-0.9168,0.615,0.385,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",Thu Mar 22 15:00:01 +0000 2018,500,BBC
96,0.6705,0.594,0.1,0.306,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",Thu Mar 22 14:30:10 +0000 2018,500,BBC
97,0.4215,0.882,0.0,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",Thu Mar 22 13:53:48 +0000 2018,500,BBC
98,-0.4767,0.871,0.129,0.0,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",Thu Mar 22 13:33:04 +0000 2018,500,BBC
99,0.0,1.0,0.0,0.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. 🔬 https://t.co/PVf4thZOb3,Thu Mar 22 13:14:13 +0000 2018,500,BBC
100,0.508,0.88,0.0,0.12,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",Mon Mar 26 22:14:25 +0000 2018,500,CBS
101,0.0,1.0,0.0,0.0,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",Mon Mar 26 20:42:48 +0000 2018,500,CBS
102,0.7959,0.786,0.0,0.214,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,Mon Mar 26 16:59:19 +0000 2018,500,CBS
103,0.807,0.622,0.0,0.378,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",Mon Mar 26 16:05:18 +0000 2018,500,CBS
104,0.0,1.0,0.0,0.0,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,Sun Mar 25 23:57:34 +0000 2018,500,CBS
105,0.5319,0.78,0.062,0.157,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,Sun Mar 25 17:15:25 +0000 2018,500,CBS
106,0.5399,0.801,0.0,0.199,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,Sat Mar 24 22:46:53 +0000 2018,500,CBS
107,-0.34,0.7,0.185,0.115,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,Sat Mar 24 22:46:43 +0000 2018,500,CBS
108,0.7003,0.791,0.0,0.209,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",Sat Mar 24 22:25:03 +0000 2018,500,CBS
109,0.0,1.0,0.0,0.0,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜,Sat Mar 24 22:21:37 +0000 2018,500,CBS
110,0.0,1.0,0.0,0.0,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",Sat Mar 24 22:21:34 +0000 2018,500,CBS
111,0.7184,0.667,0.0,0.333,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",Sat Mar 24 22:21:26 +0000 2018,500,CBS
112,0.9451,0.58,0.0,0.42,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,Sat Mar 24 22:21:23 +0000 2018,500,CBS
113,0.0,1.0,0.0,0.0,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",Sat Mar 24 20:00:02 +0000 2018,500,CBS
114,0.6996,0.806,0.0,0.194,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,Fri Mar 23 22:33:52 +0000 2018,500,CBS
115,0.4939,0.686,0.0,0.314,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,Fri Mar 23 22:33:04 +0000 2018,500,CBS
116,0.8997,0.645,0.0,0.355,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",Fri Mar 23 22:32:48 +0000 2018,500,CBS
117,0.0,1.0,0.0,0.0,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,Thu Mar 22 22:10:29 +0000 2018,500,CBS
118,0.7081,0.623,0.066,0.311,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,Thu Mar 22 20:52:02 +0000 2018,500,CBS
119,0.636,0.802,0.0,0.198,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,Thu Mar 22 00:23:38 +0000 2018,500,CBS
120,0.0,1.0,0.0,0.0,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,Wed Mar 21 18:00:01 +0000 2018,500,CBS
121,0.5106,0.858,0.0,0.142,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,Tue Mar 20 20:00:01 +0000 2018,500,CBS
122,0.0,1.0,0.0,0.0,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,Tue Mar 20 17:58:43 +0000 2018,500,CBS
123,0.5562,0.826,0.0,0.174,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,Tue Mar 20 16:52:42 +0000 2018,500,CBS
124,0.0,1.0,0.0,0.0,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",Tue Mar 20 16:11:00 +0000 2018,500,CBS
125,0.7845,0.619,0.072,0.309,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",Mon Mar 19 21:02:26 +0000 2018,500,CBS
